I (660135) clare_net: recv kind=0 type=transcript len=109
I (660137) clare_net: recv kind=0 type=transcript len=109
I (660353) clare_net: recv kind=0 type=transcript len=109
I (660355) clare_net: recv kind=0 type=transcript len=109
I (660357) clare_net: recv kind=0 type=transcript len=109
I (660359) clare_net: recv kind=0 type=transcript len=109
I (660361) clare_net: recv kind=0 type=transcript len=109
I (660468) clare_net: recv kind=0 type=transcript len=118
I (660492) clare_net: recv kind=0 type=transcript len=118
I (660525) clare_net: recv kind=0 type=transcript len=118
I (660712) clare_net: recv kind=0 type=transcript len=124
I (661369) clare_net: recv kind=0 type=transcript len=124
I (661371) clare_net: recv kind=0 type=transcript len=124
I (661373) clare_net: recv kind=0 type=transcript len=130
I (661374) clare_net: recv kind=0 type=transcript len=130
I (661376) clare_net: recv kind=0 type=transcript len=130
I (661381) clare_net: recv kind=0 type=transcript len=139
I (661554) clare_net: recv kind=0 type=transcript len=139
I (661564) clare_net: recv kind=0 type=transcript len=139
I (661772) clare_net: recv kind=0 type=transcript len=139
I (661804) clare_net: recv kind=0 type=transcript len=139
I (661849) clare_net: recv kind=0 type=transcript len=139
I (661869) clare_net: recv kind=0 type=transcript len=139
I (662206) clare_net: recv kind=0 type=transcript len=145
I (662223) clare_net: recv kind=0 type=transcript len=145
I (662257) clare_net: recv kind=0 type=transcript len=145
I (663936) clare_net: recv kind=0 type=transcript len=151
I (663938) clare_net: recv kind=0 type=transcript len=151
I (663940) clare_net: recv kind=0 type=transcript len=151
I (663942) clare_net: recv kind=0 type=transcript len=151
I (663943) clare_net: recv kind=0 type=transcript len=151
I (663945) clare_net: recv kind=0 type=transcript len=151
I (663947) clare_net: recv kind=0 type=transcript len=151
I (664168) clare_net: recv kind=0 type=transcript len=151
I (664169) clare_net: recv kind=0 type=transcript len=151
I (664171) clare_net: recv kind=0 type=transcript len=157
I (664173) clare_net: recv kind=0 type=transcript len=157
I (664175) clare_net: recv kind=0 type=transcript len=157
I (664177) clare_net: recv kind=0 type=transcript len=157
I (664179) clare_net: recv kind=0 type=transcript len=166
I (664181) clare_net: recv kind=0 type=transcript len=166
I (664182) clare_net: recv kind=0 type=transcript len=166
I (664184) clare_net: recv kind=0 type=transcript len=166
I (664186) clare_net: recv kind=0 type=transcript len=166
I (664188) clare_net: recv kind=0 type=transcript len=166
I (664351) clare_net: recv kind=0 type=transcript len=175
I (664382) clare_net: recv kind=0 type=transcript len=175
I (664417) clare_net: recv kind=0 type=transcript len=175
I (664693) clare_net: recv kind=0 type=transcript len=178
I (664736) clare_net: recv kind=0 type=transcript len=178
I (664767) clare_net: recv kind=0 type=transcript len=178
I (665077) clare_net: recv kind=0 type=transcript len=181
I (665106) clare_net: recv kind=0 type=transcript len=181
I (665134) clare_net: recv kind=0 type=transcript len=181
I (665163) clare_net: recv kind=0 type=transcript len=181
I (665487) clare_net: recv kind=0 type=transcript len=184
I (665525) clare_net: recv kind=0 type=transcript len=184
I (665554) clare_net: recv kind=0 type=transcript len=184
I (666187) clare_net: recv kind=0 type=transcript len=184
I (666189) clare_net: recv kind=0 type=transcript len=184
I (666191) clare_net: recv kind=0 type=transcript len=184
I (666192) clare_net: recv kind=0 type=transcript len=184
I (666194) clare_net: recv kind=0 type=transcript len=184
I (666353) clare_net: recv kind=0 type=transcript len=186
I (669402) clare_net: recv kind=0 type=transcript len=79
I (669442) clare_net: recv kind=0 type=transcript len=79
I (669467) clare_net: recv kind=0 type=transcript len=79
I (669679) clare_net: recv kind=0 type=transcript len=79
I (669708) clare_net: recv kind=0 type=transcript len=79
I (669735) clare_net: recv kind=0 type=transcript len=79
I (670005) clare_net: recv kind=0 type=transcript len=91
I (670034) clare_net: recv kind=0 type=transcript len=91
I (670068) clare_net: recv kind=0 type=transcript len=91
I (670094) clare_net: recv kind=0 type=transcript len=91
I (670219) clare_net: recv kind=0 type=transcript len=91
I (670904) clare_net: recv kind=0 type=transcript len=91
I (670906) clare_net: recv kind=0 type=transcript len=91
I (670907) clare_net: recv kind=0 type=transcript len=91
I (670909) clare_net: recv kind=0 type=transcript len=91
I (670911) clare_net: recv kind=0 type=transcript len=91
I (671157) clare_net: recv kind=0 type=transcript len=100
I (671159) clare_net: recv kind=0 type=transcript len=100
I (671161) clare_net: recv kind=0 type=transcript len=100
I (671235) clare_net: recv kind=0 type=transcript len=100
I (671267) clare_net: recv kind=0 type=transcript len=100
I (671296) clare_net: recv kind=0 type=transcript len=100
I (671610) clare_net: recv kind=0 type=transcript len=103
I (672252) clare_net: recv kind=0 type=transcript len=103
I (672254) clare_net: recv kind=0 type=transcript len=103
I (672256) clare_net: recv kind=0 type=transcript len=103
I (672258) clare_net: recv kind=0 type=transcript len=109
I (672259) clare_net: recv kind=0 type=transcript len=109
I (672261) clare_net: recv kind=0 type=transcript len=109
I (672392) clare_net: recv kind=0 type=transcript len=109
I (672460) clare_net: recv kind=0 type=transcript len=111
I (674176) clare_net: recv kind=0 type=transcript len=82
I (674785) clare_net: recv kind=0 type=transcript len=82
I (674786) clare_net: recv kind=0 type=transcript len=82
I (674788) clare_net: recv kind=0 type=transcript len=85
I (674790) clare_net: recv kind=0 type=transcript len=85
I (674792) clare_net: recv kind=0 type=transcript len=85
I (674972) clare_net: recv kind=0 type=transcript len=94
I (674974) clare_net: recv kind=0 type=transcript len=94
I (674976) clare_net: recv kind=0 type=transcript len=94
I (675211) clare_net: recv kind=0 type=transcript len=94
I (675242) clare_net: recv kind=0 type=transcript len=94
I (675880) clare_net: recv kind=0 type=transcript len=94
I (675882) clare_net: recv kind=0 type=transcript len=94
I (675884) clare_net: recv kind=0 type=transcript len=94
I (675886) clare_net: recv kind=0 type=transcript len=94
I (675888) clare_net: recv kind=0 type=transcript len=94
